parent_key,menu_name,menu_key,menu_path,menu_icon,menu_type,component,redirect,layout,access,wrappers,is_required,status
,工作台,dashboard.workplace,/workbench,AppstoreOutlined,menu,./Dashboard/Workplace,,1,canAdmin,,1,1
,,,,,,,,,,,,
,用户管理,user.management,/user,TeamOutlined,menu,,/user/account,1,canAdmin,,0,1
user.management,账号管理,user.account,/user/account,IdcardOutlined,menu,./User/Account,,1,canAdmin,,0,1
user.management,用户管理,user.user,/user/user,UserOutlined,menu,./User/User,,1,canAdmin,,0,1
user.management,账号资料,user.profile,/user/profile,ProfileOutlined,menu,./User/Profile,,1,canAdmin,,0,1
user.management,社交绑定,user.social,/user/social,ShareAltOutlined,menu,./User/Social,,1,canAdmin,,0,1
,,,,,,,,,,,,
,通知管理,notification.management,/notification,BellOutlined,menu,,/notification/system,1,canAdmin,,0,1
notification.management,系统通知,notification.system,/notification/system,NotificationOutlined,menu,./Notification/System,,1,canAdmin,,0,1
notification.management,站内信,notification.message,/notification/message,MessageOutlined,menu,./Notification/Message,,1,canAdmin,,0,1
notification.management,公告管理,notification.announcement,/notification/announcement,SoundOutlined,menu,./Notification/Announcement,,1,canAdmin,,0,1
,,,,,,,,,,,,
,应用管理,app.management,/app,AppstoreOutlined,menu,,/app/market,1,canAdmin,,0,1
app.management,应用市场,app.market,/app/market,ShopOutlined,menu,./App/Market,,1,canAdmin,,0,1
app.management,我的应用,app.my,/app/my,AppstoreOutlined,menu,./App/My,,1,canAdmin,,0,1
,,,,,,,,,,,,
,组织架构管理,organization.management,/organization,ApartmentOutlined,menu,,/organization/company,1,canAdmin,,0,1
organization.management,组织架构,organization.organization,/organization/organization,ApartmentOutlined,menu,./System/Organization,,1,canAdmin,,0,1
organization.management,公司管理,organization.company,/organization/company,BankOutlined,menu,./Organization/Company,,1,canAdmin,,0,1
organization.management,部门管理,organization.department,/organization/department,PartitionOutlined,menu,./Organization/Department,,1,canAdmin,,0,1
organization.management,职位管理,organization.position,/organization/position,SolutionOutlined,menu,./Organization/Position,,1,canAdmin,,0,1
organization.management,岗位管理,organization.job,/organization/job,IdcardOutlined,menu,./Organization/Job,,1,canAdmin,,0,1
,,,,,,,,,,,,
,系统管理,system.management,/system,SettingOutlined,menu,,/system/admin,1,canAdmin,,0,1
system.management,角色权限,system.rbac,/system/rbac,SafetyOutlined,menu,,/system/rbac/role,1,canAdmin,,0,1
system.rbac,角色管理,system.rbac.role,/system/rbac/role,ProfileOutlined,menu,./System/Role,,1,canAdmin,,0,1
system.rbac,菜单管理,system.rbac.menu,/system/rbac/menu,BlockOutlined,menu,./System/Menu,,1,canAdmin,,0,1
system.rbac,用户角色关联,system.rbac.userRole,/system/rbac/user-role,UsergroupAddOutlined,menu,./System/UserRole,,1,canAdmin,,0,1
system.rbac,角色菜单关联,system.rbac.roleMenu,/system/rbac/role-menu,UnorderedListOutlined,menu,./System/RoleMenu,,1,canAdmin,,0,1
system.management,管理员管理,system.admin,/system/admin,UserOutlined,menu,./System/Admin,,1,canAdmin,,0,1
system.management,数据字典,system.dict,/system/dict,BookOutlined,menu,./System/Dict,,1,canAdmin,,0,1
system.management,系统日志,system.log,/system/log,FileTextOutlined,menu,./System/Log,,1,canAdmin,,0,1
